participant_ID,group,scenario,condition,dialekt,generated_url
P01,g1,s1,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P01&entry.452918499=g1&entry.2030388060=s1&entry.589748738=c1
P01,g1,s2,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P01&entry.452918499=g1&entry.2030388060=s2&entry.589748738=c2
P01,g1,s3,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P01&entry.452918499=g1&entry.2030388060=s3&entry.589748738=c3
P02,g1,s1,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P02&entry.452918499=g1&entry.2030388060=s1&entry.589748738=c1
P02,g1,s2,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P02&entry.452918499=g1&entry.2030388060=s2&entry.589748738=c2
P02,g1,s3,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P02&entry.452918499=g1&entry.2030388060=s3&entry.589748738=c3
P03,g1,s1,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P03&entry.452918499=g1&entry.2030388060=s1&entry.589748738=c1
P03,g1,s2,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P03&entry.452918499=g1&entry.2030388060=s2&entry.589748738=c2
P03,g1,s3,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P03&entry.452918499=g1&entry.2030388060=s3&entry.589748738=c3
P04,g2,s1,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=P04&entry.452918499=g2&entry.2030388060=s1&entry.589748738=c3
